HIGH MOUNTAIN HUNTING--WA,"223 NORTH MISSION ST., WENATCHEE, WA  98801",509-665-9362,,47.4273,-120.315
HOUSE OF ARROWS ARCHERY---NV,"1121 ROCK BLVD., SPARKS, NV  89431",775-356-6614,,39.5436,-119.764
MARK FORCE STRIKE--NV,", RENO, NV  89502",775-322-9559,,39.4836,-119.731
RENO SPARKS SCHEELS---NV,"1200 SCHEELS DRIVE, SPARKS, NV  89434",775-331-2700,,39.5307,-119.722
IMPACT ARCHERY---CA,"1621 RAILROAD AVE, CLOVIS, CA  93612",559-325-2320,,36.8118,-119.699
RILEY STORE & ARCHERY --OR,", RILEY, OR  97758",541-493-2527,,43.5415,-119.504
KENNEWICK RANCH & HOME---WA,"845 NORTH COLUMBIA CENTER BLVD., KENNEWICK, WA  99336",509-737-1996,,46.2193,-119.227
SECOND AMENDMENT SPORTS--CA,"2523 MOHAWK ST., BAKERSFIELD, CA  93308",520-325-3346,,35.3825,-119.066
BHUNTN ARCHERY--OR,"206 S. WASHINGTON ST., CANYON CITY, OR  97820",541-620-0364,,44.3869,-118.949
ARCHERY SPORTS--CA,"6641 SANTA SUSANNA PASS ROAD, SIMI VALLEY, CA  93063",805-577-0335,,34.2649,-118.638
STEVE'S ARCHERY & FISHING--WA,", WALLA WALLA, WA  99362",509-525-8772,,46.0646,-118.343
DC ARCHERY--CA,"7861 FOOTHILLS BLVD., SOUTHERN, CA  91040",818-352-5437,,34.2864,-118.311
"ALPINE ARCHERY, LLC","117 ELM ST., LAGRANDE, OR  97850",541-963-4671,,45.3274,-118.094
BEN'S ARCHERY---OR,"2706 N SPRUCE ST, LA GRANDE, OR  97850",541-963-5871,,45.3375,-118.087
ARCHERY OUTPOST--CA,"10714  REAGAN ST., LOS ALAMITOS, CA  90720",562-598-3444,,33.8073,-118.068
HI-TECH ARCHERY--CA,"1912 WEST COMMONWEALTH AVE, FULLERTON, CA  92833",714-449-9744   ,,33.8696,-117.965
ORANGE COUNTY ARCHERY LLC---CA,"18792 BROOKHURST STREET, FOUNTAIN VALLEY, CA  92708",714-965-1125,,33.6898,-117.954
ADVANTAGE ARCHERY--CA,"551B E. EDNA PLACE, COVINA, CA  91723",626-332-0663,,34.0936,-117.88
FS ARROWS--CA,"2852 A WALNUT, TUSTIN, CA  92780",(714) 617-7816,,33.7123,-117.806
CAMO'D ARCHERY--WA,"1965 HWY. 395 S., CHEWELAH, WA  99109",509-935-6244,,48.297,-117.752
RIVERSIDE ARCHERY---CA,"1919 ATLAS DR., RIVERSIDE, CA  92501",951-313-8094,,34.0043,-117.377
"A-BAR-L WESTERN STORE, INC.--NV","111 MAIN ST., TONOPAH, NV  89049",775-482-3658,,38.0677,-117.231
PERFORMANCE ARCHERY---CA,"8390 MIRAMAR PLACE, SAN DIEGO, CA  92121",858-450-9454,,32.8805,-117.179
SPOKANE VALLEY ARCHERY---WA,"S. 3809 LINKE RD., GREENACRES, WA  99016",509-924-3364,,47.6221,-117.156
BRYAN'S ARCHERY---ID,"1851 MAIN ST., LEWISTON, ID  83501",208-746-7977,,46.4175,-117.004
BOW 'N' ARROW SHOP--CA,"9748 LOS COCHES RD., LAKESIDE, CA  92040",619-443-5488,,32.8559,-116.921
ROCKY MOUNTAIN ARCHERY---ID,"29794 N. WHEATRIDGE RD., ATHOL, ID  83801",208-683-3676,,47.9416,-116.728
ARCHERY CENTRAL--ID,"6611 CLEVELAND BLVD., CALDWELL, ID  83607",208-629-9564,,43.6233,-116.629
IDAHO OUTDOOR OUTFITTERS,"3226 GARRITY BLVD., NAMPA, ID  83687",208-467-5961,,43.5884,-116.531
J.L. PALMER---ID,"104 SO ROBINSON RD, NAMPA, ID  83687",208-377-6827,,43.5685,-116.494
DEAD ON ARCHERY---ID,"2006 E. FRANKLIN RD., MERIDIAN, ID  83642",208-922-9744,,43.6059,-116.369
"IDAHO ARCHERY COMPANY, LLC--ID","5669 NORTH GLENWOOD, BOISE, ID  83714",208-376-7057,,43.6566,-116.28
S & S ARCHERY--ID,"1823 South Division Ave., BOISE, ID  83706",208-941-9899,,43.5861,-116.189
"RON'S SPORTSMEN, LLC.--DE","138 W CAMERON AVE., KELLOGG, ID  83837",208-783-1133,,47.54,-116.122
GUN WORLD & ARCHERY--NV,"2515 NODDLE LN., ELKO, NV  89801",775-738-2666,,40.8384,-115.79
SPINTI ENTERPRISES--ID,"3656 NW DUTTON WAY, MOUNTAIN HOME, ID  83647",208-587-8719,,43.1593,-115.724
"PARK-N-SONS ARCHERY, LLC--ID","975 PHEASANT CT., MOUNTAIN HOME, ID  83647",208-587-2275,,43.1232,-115.704
BACK COUNTRY ARCHERY--MT,"208 W. SPRUCE ST., LIBBY, MT  59923",406-293-8738,,48.3852,-115.558
LIBBY SPORTS CENTER--MT,"204 WEST 9TH ST., LIBBY, MT  59923",406-293-4641,,48.3884,-115.556
MAC ISLAND OUTDOORS--NE,"3488 Road BC, SUPERIOR, NE  68978",402-879-1945,,32.607,-115.441
BIG BULL SPORTS & PAWN---MT,"PO BOX  1466, THOMPSON FALLS, MT  59873",406-827-3972,,47.5955,-115.337
"LONE MOUNTAIN ARCHERY, LLC.--NV","8540 WEST VERDE WAY, LAS VEGAS, NV  89149",702-278-5242,,36.2508,-115.282
PACIFIC ARCHERY SALES---NV,"4084 SCHIFF DR., LAS VEGAS, NV  89103",702-367-1505,,36.1248,-115.194
SPRAGUE'S SPORTS INC---AZ,"345 W 32ND STREET, YUMA, AZ  85364",928-726-0022,,32.6693,-114.623
HIGH POINT ARCHERY---ID,"714 S. FILLMORE, JEROME, ID  83338",208-324-3078,,42.7171,-114.509
